course_code,section_no,room
AVM100,A,FEAS_AB2.103
AVM102,A,FEAS_AB2.115
AVM301,A,FEAS_AB2.102
AVM303,A,FEAS_AB2.G01
AVM304,A,LF_AB3.332
AVM315,A,FEAS_AB2.B42
AVM401,A,LF_AB3.347
AVM402,A,FEAS_AB2.114
AVM402,ERS,
AVM404,A,FEAS_AB2.113
AVM406,A,FEAS_AB2.101
AVM408,A,FEAS_AB2.102
AVM410,A,
PLT104,A,FEAS_AB2.112
PLT109,A,FEAS_AB2.112
PLT110,A,FEAS_AB2.B45
PLT111,A,LF_AB3.330
PLT201,A,FEAS_AB2.G27
PLT201,B,FEAS_AB2.G28
PLT202,A,
PLT203,A,FEAS_AB2.G27
PLT204,A,
PLT205,A,FEAS_AB2.G27
PLT206,A,
PLT207,A,FEAS_AB2.G27
PLT207,B,FEAS_AB2.G28
PLT208,A,
PLT209,A,FEAS_AB2.G27
PLT209,B,FEAS_AB2.G28
PLT210,A,
PLT211,A,FEAS_AB2.G27
PLT211,B,FEAS_AB2.G28
PLT213,A,FEAS_AB2.G27
PLT213,B,FEAS_AB2.G28
PLT215,A,FEAS_AB2.G27
PLT215,B,FEAS_AB2.G28
PLT217,A,FEAS_AB2.G27
AVM307,A,FEAS_AB2.101
AVM405,A,FEAS_AB2.101
PLT203,B,FEAS_AB2.G28
PLT205,B,FEAS_AB2.G28
PLT217,B,FEAS_AB2.G28
PLT221,A,SCOLA.322
PLT301,A,FEAS_AB2.127
PLT303,A,FEAS_AB2.127
PLT303,B,FEAS_AB2.126
PLT305,A,FEAS_AB2.127
PLT305,B,FEAS_AB2.126
PLT307,A,FEAS_AB2.127
PLT307,B,FEAS_AB2.126
PLT309,A,FEAS_AB2.127
PLT309,B,FEAS_AB2.126
PLT311,A,FEAS_AB2.127
PLT311,B,FEAS_AB2.126
PLT313,A,FEAS_AB2.127
PLT318,A,
PLT401,A,
PLT402,A,
PLT403,A,
PLT404,A,
PLT405,A,
PLT406,A,FEAS_AB2.G14
PLT412,A,FEAS_AB2.G13
PLT301,B,FEAS_AB2.126
PLT313,B,FEAS_AB2.126
PLT411,A,
HUK105,A,LF_AB3.136
HUK106,A,LF_AB3.338
HUK107,A,LF_AB3.236
HUK131,A,LF_AB3.332
HUK132,A,LF_AB3.331
HUK134,A,LF_AB3.333
HUK137,A,LF_AB3.330
HUK201,A,LF_AB3.236
HUK201,B,LF_AB3.134
HUK202,A,LF_AB3.134
HUK203,B,LF_AB3.136;LF_AB3.134
HUK205,B,LF_AB3.237
HUK215,A,LF_AB3.134
HUK215,B,LF_AB3.133
HUK217,A,LF_AB3.136
HUK217,B,LF_AB3.135
HUK218,A,LF_AB3.235
HUK221,A,LF_AB3.332
HUK230,A,LF_AB3.330
HUK238,A,LF_AB3.331
HUK245,A,LF_AB3.240
HUK306,A,LF_AB3.338;LF_AB3.332
HUK307,A,LF_AB3.134
HUK307,B,LF_AB3.238
HUK309,A,LF_AB3.133
HUK310,A,LF_AB3.135
HUK313,B,LF_AB3.134
HUK328,A,LF_AB3.333
HUK331,A,LF_AB3.241
HUK352,A,LF_AB3.331
HUK357,A,LF_AB3.238
HUK357,B,LF_AB3.135
HUK359,A,LF_AB3.338
HUK363,A,LF_AB3.241
HUK365,A,LF_AB3.331
HUK376,A,LF_AB3.240
HUK394,A,LF_AB3.136
HUK401,B,LF_AB3.133
HUK402,A,LF_AB3.235
HUK403,A,LF_AB3.134
HUK409,B,LF_AB3.237
HUK416,B,LF_AB3.235
HUK418,A,LF_AB3.133
HUK422,A,LF_AB3.332
HUK431,A,LF_AB3.241
HUK433,A,LF_AB3.330
LAW448,A,SCOLA.128
HUK203,A,LF_AB3.135
HUK205,A,LF_AB3.237
HUK206,A,LF_AB3.235
HUK218,B,LF_AB3.237
HUK241,A,LF_AB3.333
HUK268,A,LF_AB3.240
HUK309,B,LF_AB3.134
HUK313,A,LF_AB3.235
HUK334,A,LF_AB3.241
HUK353,A,LF_AB3.331
HUK379,A,LF_AB3.331
HUK401,A,LF_AB3.238
HUK409,A,LF_AB3.235
HUK416,A,LF_AB3.236
HUK418,B,LF_AB3.238
HUK430,A,LF_AB3.241
HUK435,A,LF_AB3.240
ACCT201,A,LF_AB3.133
ACCT201,B,LF_AB3.238
ACCT201,C,LF_AB3.135
ACCT301,A,FEAS_AB2.G02
ACCT301,B,FEAS_AB2.G13
BUS100,A,LF_AB3.133;LF_AB3.150
BUS100,B,LF_AB3.133;LF_AB3.150
BUS101,A,LF_AB3.150
BUS101L,A,EF_AB1.509
BUS101L,C,FEAS_AB2.102
BUS101L,D,FEAS_AB2.101
BUS101L,E,FEAS_AB2.102
BUS101L,F,FEAS_AB2.101
BUS101L,G,FEAS_AB2.103
BUS102,A,EF_AB1.410
BUS102,B,EF_AB1.410
BUS102L,A,EF_AB1.410
BUS102L,B,EF_AB1.410
BUS190,A,FEAS_AB2.G01
BUS190,C,FEAS_AB2.G01
BUS190,D,FEAS_AB2.G02
BUS190,E,FEAS_AB2.G02
BUS190,F,FEAS_AB2.G02
BUS199,A,LF_AB3.347
BUS200,A,SCOLA.127
BUS200,B,LF_AB3.348
BUS200,C,SCOLA.126
BUS201,A,SCOLA.323
BUS301,A,SCOLA.323
BUS311,A,
BUS312,A,
ECON101,A,LF_AB3.238
ECON101,C,LF_AB3.237
ECON101,D,LF_AB3.135
ECON101,E,LF_AB3.238
ECON101,F,LF_AB3.338
ECON101,G,LF_AB3.235
ECON102,A,LF_AB3.238
ECON102,B,LF_AB3.136
ECON102,C,LF_AB3.236
ECON201,A,LF_AB3.347
ECON202,A,LF_AB3.348
ECON210,A,LF_AB3.237
ECON210,C,SCOLA.326
ECON301,A,LF_AB3.348
ECON302,A,LF_AB3.348
ECON309,A,SCOLA.322
ECON403,A,
ECON420,A,FEAS_AB2.114
ECON421,A,FEAS_AB2.110
ENTR201,A,LF_AB3.348
ENTR303,A,FEAS_AB2.110
ENTR305,A,FEAS_AB2.G14
ENTR308,A,FEAS_AB2.B43A
ENTR405,A,
